JSON Semantic Similarity Evaluation,,,,,,,,,,
============================================================,,,,,,,,,,
model_name,json_extracted_diagnosis_pass1,json_extracted_diagnosis_pass2,json_semantic_similarity_score,flip_rate_json_semantic_detected,true_diagnosis,diagnosis_other_terms,accuracy_json_semantic_pass1,accuracy_json_semantic_pass2,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Amyloidosis,Amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,Amyloidosis (likely AL or AA),Amyloidosis (likely AL or AA),1.000000238,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,Amyloidosis (likely AL or AA),Amyloidosis (likely AL or AA),1.000000238,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,Amyloidosis (likely AL or AA),Amyloidosis (likely AL or AA),1.000000238,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-27b-text-it,"Amyloidosis (specifically, likely AL or AA)",Amyloidosis (AL or AA),0.967560351,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Amyloidosis (AL amyloidosis secondary to plasma cell dyscrasia),Chronic Kidney Disease (CKD) with possible secondary Amyloidosis,0.648350477,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Amyloidosis (AL amyloidosis secondary to plasma cell dyscrasia),Multiple Myeloma,0.226831272,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Amyloidosis (AL amyloidosis secondary to plasma cell dyscrasia),Multiple Myeloma,0.226831272,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
meta-llama/llama-3.1-8b-instruct,Multiple Myeloma with Renal Involvement,Amyloidosis (AL Amyloidosis) with Renal Involvement,0.452712238,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,AL amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,AL amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,AL amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
openai/gpt-4o,AL amyloidosis,AL amyloidosis,1,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis (Primary amyloidosis),AA amyloidosis (Secondary amyloidosis),0.825083673,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis (Primary amyloidosis),AA amyloidosis (Secondary amyloidosis),0.825083673,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis (primary systemic amyloidosis),Multiple myeloma with systemic complications,0.240310565,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
anthropic/claude-sonnet-4,AL amyloidosis (Primary amyloidosis),AA amyloidosis (Secondary amyloidosis),0.825083673,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),"Systemic Amyloidosis (consider ATTR amyloidosis with wild-type TTR or variant TTR, or light chain amyloidosis with low-level or undetectable monoclonal protein)",0.670383155,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),Systemic Amyloidosis (likely AL amyloidosis),1.000000238,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),Systemic Amyloidosis (likely AL Amyloidosis),1.000000238,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/gemini-2.0-flash,Systemic Amyloidosis (likely AL amyloidosis),Systemic Amyloidosis (likely Light Chain Amyloidosis - AL),0.936522484,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Systemic Sarcoidosis,IgG4-Related Disease (IgG4-RD),0.152043089,TRUE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Systemic Sarcoidosis,Systemic Sarcoidosis,1.000000119,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Systemic Sarcoidosis,Systemic Sarcoidosis,1.000000119,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
google/medgemma-4b-it,Systemic Sarcoidosis,Systemic Sarcoidosis,1.000000119,FALSE,Erdheim-Chester Disease,Polyostotic sclerosing histiocytosis,FALSE,FALSE,,
